f,i,l,e,_,n,a,m,e
m,i,n
m,a,x
m,e,a,n
2019-11-15_10-38-02-2360.bmp,13,61,30.319081793658064
2019-11-15_15-25-55-1000.bmp,11,38,22.42596834122258
2019-11-14_15-51-22-6110.bmp,19,88,45.557523625320236
2019-11-14_10-34-53-5900.bmp,20,91,40.973142634159586
2019-11-14_15-38-34-4180.bmp,16,80,31.041091939397024
2019-11-14_10-25-21-6470.bmp,26,102,55.71649615717412
2019-11-15_10-29-19-6480.bmp,16,88,42.66849900748206
2019-11-14_10-21-41-9720.bmp,24,91,48.17542966695509
2019-11-14_15-51-31-7910.bmp,18,91,43.62728830525441
2019-11-14_10-37-47-7690.bmp,14,56,28.024804465482433
2019-11-14_10-37-37-9690.bmp,15,51,28.57240291138596
2019-11-15_15-21-35-0820.bmp,12,48,25.591455862642302
2019-11-15_15-04-02-3100.bmp,20,116,55.452893571537636
2019-11-15_14-50-31-3490.bmp,17,81,43.783342664698594
2019-11-15_10-39-50-8430.bmp,19,92,45.250810132166066
2019-11-15_10-39-58-0090.bmp,17,88,43.380787567228246
2019-11-15_14-57-41-5410.bmp,15,67,33.870565480734975
2019-11-15_15-04-04-6730.bmp,20,115,55.737839534449705
2019-11-15_14-58-03-4320.bmp,14,51,28.073429361564955
2019-11-14_10-37-12-0820.bmp,15,98,28.946302234437827
2019-11-14_10-05-26-4910.bmp,21,107,54.24402368470165
2019-11-15_09-52-54-6830.bmp,11,58,23.933000797407576
2019-11-15_09-52-21-3610.bmp,13,85,26.116726896387913
2019-11-14_15-40-37-2140.bmp,19,89,44.97195500585331
2019-11-14_10-05-31-1810.bmp,21,107,53.520537486639185
2019-11-14_10-05-14-0840.bmp,20,92,47.02538131351691
2019-11-15_10-53-32-9810.bmp,20,105,53.3045248638469
2019-11-14_15-38-17-9830.bmp,13,57,28.607963896099488
2019-11-14_10-34-38-8520.bmp,20,82,44.11587859045486
2019-11-14_15-38-27-3890.bmp,16,53,30.625320235489728
2019-11-15_10-37-38-7590.bmp,14,59,30.509271983848254
2019-11-14_10-25-26-3400.bmp,24,102,52.578985765426445
2019-11-15_10-05-55-6360.bmp,16,80,40.6767954395073
2019-11-15_09-45-56-3370.bmp,9,58,20.42042042042042
2019-11-15_09-52-45-2820.bmp,11,48,25.04051509136255
2019-11-14_10-22-17-2040.bmp,19,90,44.78797441509306
2019-11-14_15-41-08-1080.bmp,17,80,41.579342053918324
