file_name,min,max,mean
1390.bmp,6,255,34.9926902907993
2158.bmp,0,255,21.560622914349278
1817.bmp,8,255,51.68202764976959
2567.bmp,13,255,80.81614492293023
2441.bmp,6,255,20.051644684570157
57.bmp,16,255,52.327188940092164
1380.bmp,11,255,52.88685841411092
1202.bmp,38,255,145.8485618941681
2988.bmp,12,255,38.94597171460353
2104.bmp,10,255,47.48069283330685
1094.bmp,39,255,89.41538217066582
811.bmp,8,255,26.85761957730812
553.bmp,1,255,17.497060225647544
43.bmp,38,255,103.97441601779755
2304.bmp,12,255,47.18417289051327
1406.bmp,8,255,32.56666136977594
163.bmp,24,255,75.70792944541554
2111.bmp,13,255,44.76974416017798
2948.bmp,14,255,74.70204989671063
487.bmp,15,255,78.52693468933735
484.bmp,5,255,24.514222151597014
2045.bmp,49,255,125.3834419195932
306.bmp,3,255,24.82091212458287
155.bmp,12,255,63.56761481010647
2171.bmp,24,255,63.44907039567774
2425.bmp,6,255,28.51453996504052
883.bmp,8,255,28.38534880025425
2429.bmp,12,255,93.91657397107898
2361.bmp,20,255,86.04242809470841
2209.bmp,8,255,33.4732242173844
88.bmp,6,255,39.88987764182425
2518.bmp,6,255,37.20864452566344
2968.bmp,20,255,48.57111075798506
2920.bmp,6,255,32.82250119180041
1365.bmp,4,255,28.988081995868423
324.bmp,25,255,102.03813761322104
406.bmp,5,255,69.61465119974575
1250.bmp,25,255,80.02669632925473
2143.bmp,8,255,38.172254886381694
817.bmp,2,255,16.127919911012235
1763.bmp,0,255,20.798665183537263
716.bmp,16,255,66.50039726680438
1788.bmp,7,255,27.938503098681075
1210.bmp,22,255,82.11218814555856
1678.bmp,5,255,25.648975051644683
1419.bmp,20,255,62.91117114253933
2604.bmp,8,255,31.81249006832989
532.bmp,16,255,64.67090417924678
108.bmp,4,255,21.44446210074686
2526.bmp,26,255,84.33720006356269
1724.bmp,15,255,58.730017479739395
18.bmp,0,255,29.89686953758144
2494.bmp,0,255,22.312092801525505
1756.bmp,16,255,49.8569839504211
2163.bmp,10,255,30.76545367869061
202.bmp,7,255,56.054981725726996
2234.bmp,9,255,39.08739869696488
1408.bmp,16,255,46.673923406960114
1831.bmp,46,255,141.12219926902907
1499.bmp,0,255,13.109963451453996
759.bmp,11,255,37.76020975687272
475.bmp,37,255,115.51724137931035
1787.bmp,6,255,30.75417130144605
323.bmp,8,255,41.55871603368823
2577.bmp,6,255,27.66709041792468
2983.bmp,9,255,33.93659621802002
13.bmp,39,255,138.9078341013825
2962.bmp,0,255,35.41585889083108
44.bmp,15,255,42.86365803273478
1619.bmp,4,255,40.98776418242492
561.bmp,10,255,64.99110122358175
1009.bmp,19,255,71.4366756713809
1475.bmp,14,255,40.70411568409344
847.bmp,7,255,33.330208167805495
1664.bmp,4,255,19.301763864611473
1623.bmp,4,255,35.522167487684726
1585.bmp,18,255,92.09518512633085
923.bmp,9,255,56.307484506594626
2969.bmp,36,255,114.73780390910535
1532.bmp,16,255,51.07961226759892
1974.bmp,13,255,49.84887970761163
1600.bmp,15,255,48.98569839504211
874.bmp,17,255,49.21452407436835
1995.bmp,0,255,22.447640235181947
1386.bmp,10,255,47.894962656920384
1778.bmp,19,255,54.23152709359606
6.bmp,0,255,18.79008422056253
120.bmp,0,255,21.545208962339107
452.bmp,8,255,43.982838074050534
343.bmp,25,255,121.2532973144764
1260.bmp,39,255,127.92213570634038
668.bmp,14,255,48.66057524233275
1417.bmp,17,255,49.929445415541075
2334.bmp,19,255,116.84887970761163
1043.bmp,23,255,60.856825043699345
907.bmp,6,255,20.372636262513904
1488.bmp,6,255,32.51787700619736
1661.bmp,15,255,44.881773399014776
2895.bmp,20,255,81.86334021929127
427.bmp,43,255,137.93198792308914
1658.bmp,10,255,38.194184013983794
829.bmp,7,255,39.59621802002225
1273.bmp,5,255,18.893691403146352
1274.bmp,7,255,42.91387255680915
1573.bmp,24,255,72.13650087398698
1609.bmp,10,255,32.37470204989671
2087.bmp,13,255,42.56554902272366
1731.bmp,0,255,31.087398696964883
222.bmp,20,255,95.6311774988082
1182.bmp,41,255,92.72890513268712
661.bmp,31,255,116.45733354520897
2487.bmp,10,255,129.40966152868268
1972.bmp,30,255,95.91228348959162
50.bmp,17,255,118.21309391387256
975.bmp,10,255,42.72270777053869
2374.bmp,12,255,43.342443985380584
1602.bmp,40,255,133.97822977911966
972.bmp,0,255,42.49356427776895
2693.bmp,24,255,81.74066423009694
416.bmp,11,255,47.251231527093594
673.bmp,6,255,20.380263785158114
1599.bmp,11,255,106.95344033052598
1575.bmp,10,255,41.114571746384875
1675.bmp,11,255,45.31272842841252
963.bmp,7,255,39.13793103448276
2314.bmp,12,255,47.714285714285715
2476.bmp,4,255,38.862863499126014
1010.bmp,5,255,62.31241061496901
286.bmp,39,255,121.92992213570633
