file_name,min,max,mean
NG_2019-11-15_15-03-41-1230.bmp,19,108,45.4168405693829
NG_b157_2021-07-05_16-04-19-8920.bmp,21,255,130.448646146034
NG_b157_2021-07-05_16-11-41-5650.bmp,17,249,98.535940977045
NG_b157_2021-07-05_16-22-31-7730.bmp,20,255,102.571067998865
NG_68+2019-11-15_10-05-57-9860.bmp,15,255,42.0629782324698
NG_b157_2021-07-05_15-54-09-7970.bmp,9,160,40.2533267619517
NG_b157_2021-07-05_16-56-19-4780.bmp,19,255,118.204414773661
NG_b157_2021-07-05_16-20-57-6340.bmp,18,255,106.545738309661
NG_b157_2021-07-05_16-42-50-4030.bmp,23,255,121.059620353361
NG_b157_2021-07-05_16-31-19-4960.bmp,8,255,24.1169257881924
NG_b157_2021-07-05_16-39-56-8250.bmp,19,255,115.532057887898
NG_b157_2021-07-05_15-49-57-0350.bmp,9,106,31.6295532953985
NG_68+2019-11-20_14-01-05-6820.bmp,11,237,24.8903988734497
NG_b157_2021-07-05_16-48-00-0330.bmp,11,217,47.415147034664
NG_b157_2021-07-05_16-24-16-8770.bmp,16,254,96.8378362232478
NG_68+2019-11-20_13-56-19-6970.bmp,11,255,26.2781086170917
NG_b157_2021-07-05_16-44-13-4250.bmp,19,255,112.489732216198
NG_2019-11-14_15-40-39-5350.bmp,19,99,45.0095519248062
NG_b157_2021-07-05_16-52-41-0520.bmp,6,109,15.5561031706916
NG_68+2019-11-15_15-21-21-1590.bmp,15,104,29.0939583651448
NG_b157_2021-07-05_16-57-38-4530.bmp,18,255,114.079812416924
NG_2019-11-15_10-29-07-8580.bmp,18,130,42.8075872482652
NG_68+2019-11-13_11-22-18-4230.bmp,13,137,42.1883408832561
NG_b157_2021-07-05_15-52-27-3890.bmp,10,226,36.3912809713697
NG_b157_2021-07-05_16-23-38-8930.bmp,17,255,97.3007303194587
NG_b157_2021-07-05_16-40-36-2480.bmp,19,255,113.607852801051
NG_2019-11-14_10-05-28-8270.bmp,20,154,53.8060433314671
NG_b157_2021-07-05_16-17-57-8480.bmp,10,255,35.0241199575847
NG_68+2019-11-13_11-03-03-9570.bmp,15,159,34.8786922515736
NG_2019-11-15_09-45-49-2800.bmp,12,53,23.2805517381789
NG_b157_2021-07-05_16-25-52-0480.bmp,16,255,99.3016264169542
NG_b157_2021-07-05_15-58-06-0900.bmp,10,255,41.8921397314695
NG_b157_2021-07-05_16-48-25-8270.bmp,10,245,45.6764490643249
